N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"65,700",400,+0.61%,100,"3,922,147","5,969,783",51.61,"10,287,564",8.15,17.07,
2,LG에너지솔루션,"572,000","8,000",-1.38%,500,"1,338,480","234,000",5.39,"265,950",173.07,5.75,
3,SK하이닉스,"89,100","1,400",+1.60%,"5,000","648,650","728,002",49.51,"2,582,940",29.09,3.56,
4,삼성바이오로직스,"785,000",0,0.00%,"2,500","558,716","71,174",10.65,"34,358",68.79,11.42,
5,LG화학,"771,000","29,000",-3.62%,"5,000","544,267","70,592",48.37,"279,095",32.71,6.95,
6,삼성SDI,"734,000","15,000",-2.00%,"5,000","504,732","68,765",49.55,"205,857",26.46,12.52,
7,삼성전자우,"55,700",900,+1.64%,100,"458,348","822,887",71.80,"1,496,292",6.91,N/A,
8,현대차,"190,400","2,100",-1.09%,"5,000","402,756","211,532",31.35,"452,504",7.16,9.36,
9,기아,"83,300",800,-0.95%,"5,000","337,668","405,363",36.99,"942,065",6.24,14.57,
10,POSCO홀딩스,"396,000","13,500",-3.30%,"5,000","334,902","84,571",40.74,"1,789,604",10.86,6.11,
11,NAVER,"190,300","1,300",-0.68%,100,"312,185","164,049",47.30,"473,565",41.07,3.29,
12,포스코퓨처엠,"379,500","28,500",-6.99%,500,"293,973","77,463",8.41,"1,755,460",248.53,4.87,
13,카카오,"57,900",0,0.00%,100,"258,035","445,657",26.08,"1,204,895",19.06,13.54,
14,셀트리온,"168,200",300,+0.18%,"1,000","236,858","140,819",20.40,"345,150",45.74,13.35,
15,현대모비스,"230,000","2,000",+0.88%,"5,000","216,856","94,285",36.91,"258,646",8.74,6.80,
16,KB금융,"50,100",300,-0.60%,"5,000","202,159","403,511",72.76,"1,046,736",4.69,9.17,
17,삼성물산,"107,800",400,+0.37%,100,"201,464","186,887",17.64,"157,040",9.94,7.16,
18,신한지주,"35,850",50,-0.14%,"5,000","181,081","505,108",62.44,"851,688",4.10,9.70,
19,LG전자,"107,800","2,800",-2.53%,"5,000","176,412","163,648",28.27,"1,183,163",16.29,6.61,
20,SK이노베이션,"182,000","3,400",-1.83%,"5,000","168,287","92,466",23.96,"709,565",10.87,8.49,
21,LG,"88,700","1,600",-1.77%,"5,000","139,526","157,301",35.75,"260,201",7.18,8.48,
22,삼성생명,"66,000",200,+0.30%,500,"132,000","200,000",15.59,"184,840",8.34,5.73,
23,하나금융지주,"42,150",400,-0.94%,"5,000","124,723","295,903",70.95,"676,575",3.53,10.06,
24,한국전력,"19,080",140,+0.74%,"5,000","122,487","641,964",14.50,"1,421,885",-0.50,-46.91,
25,SK,"166,900","1,300",-0.77%,200,"122,168","73,198",23.38,"92,757",11.35,5.13,
26,KT&G,"87,200",800,+0.93%,"5,000","119,719","137,292",44.45,"366,583",11.79,11.00,
27,두산에너빌리티,"18,410",40,+0.22%,"5,000","117,927","640,561",12.99,"5,916,094",-14.76,-11.70,
28,카카오뱅크,"23,250",150,-0.64%,"5,000","110,848","476,767",13.48,"746,463",42.04,4.68,
29,고려아연,"545,000","3,000",-0.55%,"5,000","108,254","19,863",21.85,"36,122",13.43,9.38,
30,SK텔레콤,"48,600",50,+0.10%,100,"106,353","218,833",44.22,"323,737",11.66,7.97,
31,HMM,"21,700",150,-0.69%,"5,000","106,122","489,039",11.24,"1,673,491",1.05,64.98,
32,삼성전기,"141,700","3,600",-2.48%,"5,000","105,841","74,694",29.73,"671,316",11.21,13.76,
33,하이브,"250,000","7,000",-2.72%,500,"103,383","41,353",17.56,"230,281",197.63,1.87,
34,삼성화재,"216,500","1,500",-0.69%,500,"102,567","47,375",52.01,"53,807",8.55,9.70,
35,HD현대중공업,"109,900","1,900",-1.70%,"5,000","97,562","88,773",6.42,"182,050",-27.71,-6.47,
36,크래프톤,"193,900",600,-0.31%,100,"95,471","49,237",30.60,"176,406",19.02,10.29,
37,LG생활건강,"610,000","54,000",-8.13%,"5,000","95,271","15,618",34.91,"152,784",45.69,4.41,
38,한화솔루션,"55,100","2,000",+3.77%,"5,000","94,713","171,893",24.58,"3,881,509",29.56,4.21,
39,삼성에스디에스,"118,400",500,+0.42%,500,"91,615","77,378",15.50,"108,557",8.33,14.23,
40,S-Oil,"78,200",500,-0.64%,"2,500","88,040","112,583",79.69,"309,287",4.33,27.20,
41,대한항공,"23,250",300,-1.27%,"5,000","85,611","368,221",15.22,"871,993",4.85,21.95,
42,우리금융지주,"11,750",10,-0.09%,"5,000","85,547","728,061",39.84,"1,105,029",2.72,11.51,
43,기업은행,"10,190",40,-0.39%,"5,000","81,258","797,426",13.92,"771,079",2.93,9.85,
44,엔씨소프트,"367,000","4,500",-1.21%,500,"80,571","21,954",45.40,"70,728",18.49,13.73,
45,KT,"30,600",100,+0.33%,"5,000","79,900","261,112",40.45,"1,139,981",6.33,7.99,
46,롯데케미칼,"174,200","2,000",-1.14%,"5,000","74,515","42,775",24.05,"95,420",101.93,0.43,
47,카카오페이,"55,600",300,-0.54%,500,"74,451","133,905",43.50,"220,397",136.61,3.08,
48,아모레퍼시픽,"125,500","11,700",-8.53%,500,"73,408","58,493",24.99,"734,260",64.46,2.81,
49,메리츠금융지주,"42,600",500,-1.16%,500,"73,097","171,589",12.93,"306,812",5.22,30.32,
50,LG이노텍,"264,500","10,000",+3.93%,"5,000","62,599","23,667",20.87,"287,161",6.39,25.85,
51,현대글로비스,"165,000",400,-0.24%,500,"61,875","37,500",47.17,"77,964",5.20,18.78,
52,한국조선해양,"85,600",400,-0.47%,"5,000","60,582","70,773",20.66,"228,773",-27.93,-2.22,
53,KODEX 200,"33,580",170,-0.50%,0,"59,403","176,900",3.67,"2,006,972",N/A,N/A,
54,SK아이이테크놀로지,"82,900",200,+0.24%,"1,000","59,106","71,298",6.94,"589,981",-199.28,-1.35,
55,SK스퀘어,"41,600",950,+2.34%,100,"58,850","141,468",42.24,"392,498",22.66,1.55,
